label,J,mu_over_J,t_yr,omega_e,beta_deg,alpha_deg,Id_over_Is,eps_beta
J = 0.1,0.1000,1.0e-03,0.633376,4.82223167e-03,80.1779,10.4900,0.424871,9.991298e-04
J = 0.1,0.1000,1.0e-03,0.640043,4.81728424e-03,82.1432,5.2824,0.425308,9.412260e-04
J = 0.1,0.1000,1.0e-03,0.646710,4.81232572e-03,84.7588,0.3690,0.425746,8.568223e-04
J = 0.1,0.1000,1.0e-03,0.653377,4.80735618e-03,87.9396,355.8289,0.426186,7.547132e-04
J = 0.1,0.1000,1.0e-03,0.660044,4.80237565e-03,91.5944,351.7159,0.426628,6.442309e-04
J = 0.1,0.1000,1.0e-03,0.666711,4.79738420e-03,95.6315,348.0659,0.427072,5.341428e-04
J = 0.1,0.1000,1.0e-03,0.673378,4.79238189e-03,99.9615,344.9056,0.427518,4.319632e-04
J = 0.1,0.1000,1.0e-03,0.680045,4.78736878e-03,104.4987,342.2606,0.427965,3.436214e-04
J = 0.1,0.1000,1.0e-03,0.686712,4.78234491e-03,109.1602,340.1625,0.428415,2.733807e-04
J = 0.1,0.1000,1.0e-03,0.693380,4.77731036e-03,113.8638,338.6543,0.428866,2.239097e-04
J = 0.1,0.1000,1.0e-03,0.700047,4.77226517e-03,118.5255,337.7947,0.429320,1.964303e-04
J = 0.1,0.1000,1.0e-03,0.706714,4.76720941e-03,123.0548,337.6605,0.429775,1.908865e-04
J = 0.1,0.1000,1.0e-03,0.713381,4.76214314e-03,127.3512,338.3447,0.430232,2.060842e-04
J = 0.1,0.1000,1.0e-03,0.720048,4.75706642e-03,131.2991,339.9475,0.430692,2.397484e-04
J = 0.1,0.1000,1.0e-03,0.726715,4.75197931e-03,134.7658,342.5534,0.431153,2.884643e-04
J = 0.1,0.1000,1.0e-03,0.733382,4.74688187e-03,137.6041,346.1908,0.431616,3.475504e-04
J = 0.1,0.1000,1.0e-03,0.740049,4.74177418e-03,139.6634,350.7747,0.432081,4.111163e-04
J = 0.1,0.1000,1.0e-03,0.746716,4.73665628e-03,140.8146,356.0570,0.432547,4.727767e-04
J = 0.1,0.1000,1.0e-03,0.753384,4.73152824e-03,140.9810,1.6293,0.433016,5.272766e-04
J = 0.1,0.1000,1.0e-03,0.760051,4.72639013e-03,140.1634,7.0088,0.433487,5.723215e-04
J = 0.1,0.1000,1.0e-03,0.766718,4.72124202e-03,138.4401,11.7703,0.433960,6.091609e-04
J = 0.1,0.1000,1.0e-03,0.773385,4.71608397e-03,135.9438,15.6429,0.434434,6.413566e-04
J = 0.1,0.1000,1.0e-03,0.780052,4.71091604e-03,132.8290,18.5238,0.434911,6.727769e-04
J = 0.1,0.1000,1.0e-03,0.786719,4.70573831e-03,129.2455,20.4334,0.435389,7.061252e-04
J = 0.1,0.1000,1.0e-03,0.793386,4.70055084e-03,125.3258,21.4572,0.435870,7.424003e-04
J = 0.1,0.1000,1.0e-03,0.800053,4.69535370e-03,121.1812,21.7021,0.436352,7.809951e-04
J = 0.1,0.1000,1.0e-03,0.806720,4.69014697e-03,116.9044,21.2719,0.436837,8.200545e-04
J = 0.1,0.1000,1.0e-03,0.813388,4.68493070e-03,112.5731,20.2562,0.437323,8.568726e-04
J = 0.1,0.1000,1.0e-03,0.820055,4.67970497e-03,108.2542,18.7278,0.437811,8.882522e-04
J = 0.1,0.1000,1.0e-03,0.826722,4.67446985e-03,104.0072,16.7437,0.438302,9.108141e-04
J = 0.1,0.1000,1.0e-03,0.833389,4.66922542e-03,99.8873,14.3478,0.438794,9.212672e-04
J = 0.1,0.1000,1.0e-03,0.840056,4.66397174e-03,95.9470,11.5744,0.439288,9.166520e-04
J = 0.1,0.1000,1.0e-03,0.846723,4.65870889e-03,92.2377,8.4516,0.439785,8.945694e-04
J = 0.1,0.1000,1.0e-03,0.853390,4.65343693e-03,88.8102,5.0055,0.440283,8.533985e-04
J = 0.1,0.1000,1.0e-03,0.860057,4.64815596e-03,85.7146,1.2637,0.440783,7.925005e-04
J = 0.1,0.1000,1.0e-03,0.866724,4.64286603e-03,82.9992,357.2594,0.441285,7.123944e-04
J = 0.1,0.1000,1.0e-03,0.873392,4.63756723e-03,80.7095,353.0345,0.441789,6.148725e-04
J = 0.1,0.1000,1.0e-03,0.880059,4.63225963e-03,78.8848,348.6428,0.442296,5.030100e-04
J = 0.1,0.1000,1.0e-03,0.886726,4.62694330e-03,77.5566,344.1503,0.442804,3.810226e-04
J = 0.1,0.1000,1.0e-03,0.893393,4.62161833e-03,76.7450,339.6343,0.443314,2.539457e-04
J = 0.1,0.1000,1.0e-03,0.900060,4.61628479e-03,76.4567,335.1801,0.443826,1.271511e-04
J = 0.1,0.1000,1.0e-03,0.906727,4.61094276e-03,76.6839,330.8758,0.444340,5.782633e-06
J = 0.1,0.1000,1.0e-03,0.913394,4.60559231e-03,77.4043,326.8063,0.444857,1.057747e-04
J = 0.1,0.1000,1.0e-03,0.920061,4.60023354e-03,78.5823,323.0483,0.445375,2.042708e-04
J = 0.1,0.1000,1.0e-03,0.926728,4.59486651e-03,80.1714,319.6665,0.445895,2.877441e-04
J = 0.1,0.1000,1.0e-03,0.933396,4.58949130e-03,82.1171,316.7119,0.446417,3.554509e-04
J = 0.1,0.1000,1.0e-03,0.940063,4.58410800e-03,84.3596,314.2224,0.446942,4.076292e-04
J = 0.1,0.1000,1.0e-03,0.946730,4.57871670e-03,86.8360,312.2243,0.447468,4.451786e-04
J = 0.1,0.1000,1.0e-03,0.953397,4.57331746e-03,89.4821,310.7350,0.447996,4.693330e-04
J = 0.1,0.1000,1.0e-03,0.960064,4.56791038e-03,92.2337,309.7646,0.448526,4.813776e-04
J = 0.1,0.1000,1.0e-03,0.966731,4.56249553e-03,95.0268,309.3185,0.449059,4.824372e-04
J = 0.1,0.1000,1.0e-03,0.973398,4.55707300e-03,97.7982,309.3978,0.449593,4.733447e-04
J = 0.1,0.1000,1.0e-03,0.980065,4.55164288e-03,100.4852,309.9998,0.450129,4.545862e-04
J = 0.1,0.1000,1.0e-03,0.986732,4.54620524e-03,103.0263,311.1167,0.450668,4.263208e-04
J = 0.1,0.1000,1.0e-03,0.993400,4.54076018e-03,105.3614,312.7344,0.451208,3.884665e-04
J = 0.1,0.1000,1.0e-03,1.000067,4.53530777e-03,107.4324,314.8300,0.451751,3.408462e-04
J = 0.1,0.1000,1.0e-03,1.006734,4.52984811e-03,109.1851,317.3697,0.452295,2.833795e-04
J = 0.1,0.1000,1.0e-03,1.013401,4.52438128e-03,110.5708,320.3065,0.452842,2.162917e-04
J = 0.1,0.1000,1.0e-03,1.020068,4.51890737e-03,111.5489,323.5801,0.453390,1.403038e-04
J = 0.1,0.1000,1.0e-03,1.026735,4.51342647e-03,112.0890,327.1178,0.453941,5.675141e-05
J = 0.1,0.1000,1.0e-03,1.033402,4.50793866e-03,112.1730,330.8384,0.454493,3.240670e-05
J = 0.1,0.1000,1.0e-03,1.040069,4.50244403e-03,111.7964,334.6574,0.455048,1.247056e-04
J = 0.1,0.1000,1.0e-03,1.046736,4.49694268e-03,110.9679,338.4929,0.455605,2.173945e-04
J = 0.1,0.1000,1.0e-03,1.053404,4.49143468e-03,109.7082,342.2717,0.456163,3.077050e-04
J = 0.1,0.1000,1.0e-03,1.060071,4.48592014e-03,108.0477,345.9332,0.456724,3.931001e-04
J = 0.1,0.1000,1.0e-03,1.066738,4.48039913e-03,106.0238,349.4311,0.457287,4.714565e-04
J = 0.1,0.1000,1.0e-03,1.073405,4.47487176e-03,103.6779,352.7337,0.457852,5.411599e-04
J = 0.1,0.1000,1.0e-03,1.080072,4.46933812e-03,101.0533,355.8215,0.458419,6.011220e-04
J = 0.1,0.1000,1.0e-03,1.086739,4.46379828e-03,98.1927,358.6850,0.458988,6.507428e-04
J = 0.1,0.1000,1.0e-03,1.093406,4.45825236e-03,95.1373,1.3218,0.459559,6.898454e-04
J = 0.1,0.1000,1.0e-03,1.100073,4.45270043e-03,91.9258,3.7335,0.460132,7.186022e-04
J = 0.1,0.1000,1.0e-03,1.106740,4.44714260e-03,88.5941,5.9242,0.460707,7.374654e-04
J = 0.1,0.1000,1.0e-03,1.113408,4.44157895e-03,85.1753,7.8978,0.461284,7.471064e-04
J = 0.1,0.1000,1.0e-03,1.120075,4.43600958e-03,81.7001,9.6575,0.461863,7.483646e-04
J = 0.1,0.1000,1.0e-03,1.126742,4.43043459e-03,78.1965,11.2041,0.462444,7.422044e-04
J = 0.1,0.1000,1.0e-03,1.133409,4.42485407e-03,74.6910,12.5357,0.463027,7.296770e-04
J = 0.1,0.1000,1.0e-03,1.140076,4.41926811e-03,71.2085,13.6473,0.463613,7.118860e-04
J = 0.1,0.1000,1.0e-03,1.146743,4.41367680e-03,67.7731,14.5303,0.464200,6.899543e-04
J = 0.1,0.1000,1.0e-03,1.153410,4.40808026e-03,64.4083,15.1722,0.464789,6.649907e-04
J = 0.1,0.1000,1.0e-03,1.160077,4.40247856e-03,61.1378,15.5573,0.465381,6.380571e-04
J = 0.1,0.1000,1.0e-03,1.166744,4.39687182e-03,57.9860,15.6666,0.465974,6.101342e-04
J = 0.1,0.1000,1.0e-03,1.173412,4.39126012e-03,54.9783,15.4788,0.466570,5.820874e-04
J = 0.1,0.1000,1.0e-03,1.180079,4.38564356e-03,52.1415,14.9715,0.467167,5.546328e-04
J = 0.1,0.1000,1.0e-03,1.186746,4.38002224e-03,49.5039,14.1238,0.467767,5.283073e-04
J = 0.1,0.1000,1.0e-03,1.193413,4.37439625e-03,47.0957,12.9193,0.468368,5.034431e-04
J = 0.1,0.1000,1.0e-03,1.200080,4.36876571e-03,44.9482,11.3504,0.468972,4.801556e-04
J = 0.1,0.1000,1.0e-03,1.206747,4.36313070e-03,43.0927,9.4234,0.469578,4.583507e-04
J = 0.1,0.1000,1.0e-03,1.213414,4.35749132e-03,41.5594,7.1637,0.470185,4.377594e-04
J = 0.1,0.1000,1.0e-03,1.220081,4.35184767e-03,40.3749,4.6199,0.470795,4.180052e-04
J = 0.1,0.1000,1.0e-03,1.226748,4.34619986e-03,39.5594,1.8648,0.471407,3.986997e-04
J = 0.1,0.1000,1.0e-03,1.233416,4.34054798e-03,39.1244,358.9916,0.472021,3.795477e-04
J = 0.1,0.1000,1.0e-03,1.240083,4.33489214e-03,39.0710,356.1059,0.472637,3.604352e-04
J = 0.1,0.1000,1.0e-03,1.246750,4.32923242e-03,39.3891,353.3141,0.473254,3.414715e-04
J = 0.1,0.1000,1.0e-03,1.253417,4.32356894e-03,40.0587,350.7116,0.473874,3.229755e-04
J = 0.1,0.1000,1.0e-03,1.260084,4.31790180e-03,41.0517,348.3735,0.474496,3.054159e-04
J = 0.1,0.1000,1.0e-03,1.266751,4.31223109e-03,42.3352,346.3508,0.475120,2.893318e-04
J = 0.1,0.1000,1.0e-03,1.273418,4.30655692e-03,43.8741,344.6702,0.475746,2.752582e-04
J = 0.1,0.1000,1.0e-03,1.280085,4.30087939e-03,45.6335,343.3378,0.476374,2.636705e-04
J = 0.1,0.1000,1.0e-03,1.286752,4.29519860e-03,47.5804,342.3442,0.477004,2.549523e-04
J = 0.1,0.1000,1.0e-03,1.293420,4.28951465e-03,49.6847,341.6698,0.477636,2.493809e-04
J = 0.1,0.1000,1.0e-03,1.300087,4.28382765e-03,51.9195,341.2891,0.478270,2.471240e-04
J = 0.1,0.1000,1.0e-03,1.306754,4.27813770e-03,54.2612,341.1738,0.478907,2.482432e-04
J = 0.1,0.1000,1.0e-03,1.313421,4.27244491e-03,56.6895,341.2955,0.479545,2.527006e-04
J = 0.1,0.1000,1.0e-03,1.320088,4.26674937e-03,59.1864,341.6271,0.480185,2.603671e-04
J = 0.1,0.1000,1.0e-03,1.326755,4.26105119e-03,61.7366,342.1433,0.480827,2.710311e-04
J = 0.1,0.1000,1.0e-03,1.333422,4.25535047e-03,64.3264,342.8214,0.481471,2.844088e-04
J = 0.1,0.1000,1.0e-03,1.340089,4.24964732e-03,66.9439,343.6412,0.482117,3.001549e-04
J = 0.1,0.1000,1.0e-03,1.346756,4.24394184e-03,69.5785,344.5853,0.482765,3.178737e-04
J = 0.1,0.1000,1.0e-03,1.353424,4.23823413e-03,72.2205,345.6382,0.483416,3.371309e-04
J = 0.1,0.1000,1.0e-03,1.360091,4.23252430e-03,74.8611,346.7870,0.484068,3.574654e-04
J = 0.1,0.1000,1.0e-03,1.366758,4.22681246e-03,77.4920,348.0206,0.484722,3.784008e-04
J = 0.1,0.1000,1.0e-03,1.373425,4.22109870e-03,80.1055,349.3296,0.485378,3.994566e-04
J = 0.1,0.1000,1.0e-03,1.380092,4.21538314e-03,82.6942,350.7063,0.486036,4.201587e-04
J = 0.1,0.1000,1.0e-03,1.386759,4.20966588e-03,85.2510,352.1442,0.486696,4.400480e-04
J = 0.1,0.1000,1.0e-03,1.393426,4.20394702e-03,87.7688,353.6380,0.487358,4.586897e-04
J = 0.1,0.1000,1.0e-03,1.400093,4.19822667e-03,90.2409,355.1835,0.488022,4.756791e-04
J = 0.1,0.1000,1.0e-03,1.406760,4.19250493e-03,92.6605,356.7769,0.488688,4.906486e-04
J = 0.1,0.1000,1.0e-03,1.413428,4.18678191e-03,95.0210,358.4155,0.489356,5.032715e-04
J = 0.1,0.1000,1.0e-03,1.420095,4.18105772e-03,97.3157,0.0966,0.490026,5.132662e-04
J = 0.1,0.1000,1.0e-03,1.426762,4.17533245e-03,99.5383,1.8179,0.490698,5.203989e-04
J = 0.1,0.1000,1.0e-03,1.433429,4.16960623e-03,101.6823,3.5772,0.491372,5.244861e-04
J = 0.1,0.1000,1.0e-03,1.440096,4.16387914e-03,103.7415,5.3722,0.492048,5.253959e-04
J = 0.1,0.1000,1.0e-03,1.446763,4.15815130e-03,105.7099,7.2002,0.492726,5.230494e-04
J = 0.1,0.1000,1.0e-03,1.453430,4.15242282e-03,107.5818,9.0582,0.493406,5.174217e-04
J = 0.1,0.1000,1.0e-03,1.460097,4.14669379e-03,109.3517,10.9424,0.494087,5.085423e-04
J = 0.1,0.1000,1.0e-03,1.466764,4.14096433e-03,111.0147,12.8483,0.494771,4.964954e-04
J = 0.1,0.1000,1.0e-03,1.473432,4.13523454e-03,112.5665,14.7705,0.495456,4.814197e-04
J = 0.1,0.1000,1.0e-03,1.480099,4.12950453e-03,114.0032,16.7026,0.496144,4.635069e-04
J = 0.1,0.1000,1.0e-03,1.486766,4.12377440e-03,115.3218,18.6372,0.496833,4.429997e-04
J = 0.1,0.1000,1.0e-03,1.493433,4.11804426e-03,116.5201,20.5659,0.497525,4.201882e-04
J = 0.1,0.1000,1.0e-03,1.500100,4.11231422e-03,117.5970,22.4792,0.498218,3.954049e-04
J = 0.1,0.1000,1.0e-03,1.506767,4.10658438e-03,118.5520,24.3668,0.498913,3.690179e-04
J = 0.1,0.1000,1.0e-03,1.513434,4.10085485e-03,119.3861,26.2180,0.499610,3.414227e-04
J = 0.1,0.1000,1.0e-03,1.520101,4.09512573e-03,120.1010,28.0213,0.500309,3.130323e-04
J = 0.1,0.1000,1.0e-03,1.526768,4.08939713e-03,120.6996,29.7654,0.501010,2.842666e-04
J = 0.1,0.1000,1.0e-03,1.533436,4.08366916e-03,121.1858,31.4389,0.501713,2.555416e-04
J = 0.1,0.1000,1.0e-03,1.540103,4.07794192e-03,121.5643,33.0310,0.502417,2.272579e-04
J = 0.1,0.1000,1.0e-03,1.546770,4.07221552e-03,121.8408,34.5316,0.503124,1.997914e-04
J = 0.1,0.1000,1.0e-03,1.553437,4.06649006e-03,122.0214,35.9316,0.503832,1.734846e-04
J = 0.1,0.1000,1.0e-03,1.560104,4.06076565e-03,122.1129,37.2229,0.504542,1.486400e-04
J = 0.1,0.1000,1.0e-03,1.566771,4.05504240e-03,122.1224,38.3990,0.505254,1.255155e-04
J = 0.1,0.1000,1.0e-03,1.573438,4.04932041e-03,122.0572,39.4546,0.505968,1.043224e-04
J = 0.1,0.1000,1.0e-03,1.580105,4.04359978e-03,121.9246,40.3857,0.506684,8.522445e-05
J = 0.1,0.1000,1.0e-03,1.586772,4.03788063e-03,121.7321,41.1899,0.507402,6.833978e-05
J = 0.1,0.1000,1.0e-03,1.593440,4.03216305e-03,121.4866,41.8660,0.508121,5.374267e-05
J = 0.1,0.1000,1.0e-03,1.600107,4.02644716e-03,121.1949,42.4142,0.508843,4.146744e-05
J = 0.1,0.1000,1.0e-03,1.606774,4.02073306e-03,120.8634,42.8354,0.509566,3.151217e-05
J = 0.1,0.1000,1.0e-03,1.613441,4.01502085e-03,120.4980,43.1318,0.510291,2.384301e-05
J = 0.1,0.1000,1.0e-03,1.620108,4.00931063e-03,120.1041,43.3065,0.511018,1.839824e-05
J = 0.1,0.1000,1.0e-03,1.626775,4.00360252e-03,119.6864,43.3630,0.511746,1.509231e-05
J = 0.1,0.1000,1.0e-03,1.633442,3.99789662e-03,119.2494,43.3056,0.512477,1.381957e-05
J = 0.1,0.1000,1.0e-03,1.640109,3.99219303e-03,118.7966,43.1390,0.513209,1.445771e-05
